"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 04월 10일","96.558","96.600","96.840","96.405","13.60K","-0.05%"
"2019년 04월 09일","96.611","96.675","96.700","96.460","9.46K","-0.04%"
"2019년 04월 08일","96.650","97.000","97.020","96.575","12.36K","-0.36%"
"2019년 04월 05일","97.002","96.920","97.075","96.700","10.23K","0.08%"
"2019년 04월 04일","96.925","96.620","96.945","96.605","16.28K","0.27%"
"2019년 04월 03일","96.662","96.885","96.890","96.525","12.58K","-0.27%"
"2019년 04월 02일","96.923","96.895","97.095","96.825","14.00K","0.13%"
"2019년 04월 01일","96.799","96.795","96.870","96.580","14.05K","-0.05%"
"2019년 03월 29일","96.845","96.765","96.910","96.565","15.90K","0.08%"
"2019년 03월 28일","96.764","96.485","96.855","96.360","20.79K","0.50%"
"2019년 03월 27일","96.283","96.250","96.490","96.190","11.34K","0.06%"
"2019년 03월 26일","96.225","95.990","96.335","95.940","10.86K","0.16%"
"2019년 03월 25일","96.068","96.145","96.190","95.895","11.69K","-0.09%"
"2019년 03월 22일","96.151","95.840","96.290","95.695","20.72K","0.17%"
"2019년 03월 21일","95.987","95.380","96.125","95.295","28.79K","0.83%"
"2019년 03월 20일","95.201","95.840","96.030","95.170","25.78K","-0.66%"
"2019년 03월 19일","95.831","95.970","95.975","95.730","9.63K","-0.71%"
"2019년 03월 18일","96.516","96.540","96.540","96.390","0.03K","-0.08%"
"2019년 03월 15일","96.590","96.720","96.775","96.475","6.94K","-0.18%"
"2019년 03월 14일","96.769","96.480","96.805","96.475","17.75K","0.27%"
"2019년 03월 13일","96.512","96.975","96.985","96.345","31.34K","-0.40%"
"2019년 03월 12일","96.899","97.000","97.245","96.800","26.30K","-0.28%"
"2019년 03월 11일","97.174","97.350","97.410","97.115","17.09K","-0.10%"
"2019년 03월 08일","97.269","97.550","97.595","97.180","25.41K","-0.37%"
"2019년 03월 07일","97.628","96.785","97.665","96.765","27.95K","0.86%"
"2019년 03월 06일","96.799","96.830","96.940","96.705","14.73K","0.00%"
"2019년 03월 05일","96.795","96.615","96.950","96.585","14.58K","0.19%"
"2019년 03월 04일","96.610","96.295","96.745","96.255","16.21K","0.17%"
"2019년 03월 01일","96.450","96.165","96.475","95.960","30.25K","0.42%"
"2019년 02월 28일","96.043","96.005","96.195","95.715","22.31K","0.01%"
"2019년 02월 27일","96.038","95.915","96.070","95.755","14.21K","0.18%"
"2019년 02월 26일","95.865","96.255","96.345","95.810","19.18K","-0.42%"
"2019년 02월 25일","96.271","96.380","96.470","96.180","13.01K","-0.10%"
"2019년 02월 22일","96.367","96.465","96.650","96.280","13.03K","-0.10%"
"2019년 02월 21일","96.463","96.355","96.540","96.210","18.04K","0.18%"
"2019년 02월 20일","96.294","96.335","96.495","96.120","19.01K","-0.06%"
"2019년 02월 19일","96.349","96.665","96.930","96.250","21.43K","-0.40%"
"2019년 02월 18일","96.740","96.770","96.770","96.485","6.77K","0.00%"
