"날짜","종가","오픈","고가","저가","변동 %"
"2019년 07월 01일","1,161.77","1,156.43","1,165.52","1,149.40","0.47%"
"2019년 06월 28일","1,156.38","1,158.10","1,159.43","1,154.30","-0.06%"
"2019년 06월 27일","1,157.12","1,154.56","1,158.53","1,152.62","0.21%"
"2019년 06월 26일","1,154.67","1,156.17","1,161.05","1,152.40","-0.13%"
"2019년 06월 25일","1,156.17","1,154.67","1,157.64","1,153.00","0.13%"
"2019년 06월 24일","1,154.67","1,159.58","1,162.00","1,154.35","-0.39%"
"2019년 06월 21일","1,159.20","1,159.52","1,165.20","1,157.01","-0.02%"
"2019년 06월 20일","1,159.42","1,172.94","1,174.30","1,156.47","-1.11%"
"2019년 06월 19일","1,172.48","1,174.87","1,179.33","1,171.55","-0.20%"
"2019년 06월 18일","1,174.87","1,186.30","1,188.49","1,173.99","-0.98%"
"2019년 06월 17일","1,186.55","1,186.89","1,188.77","1,185.00","-0.03%"
"2019년 06월 14일","1,186.88","1,182.42","1,187.86","1,181.17","0.30%"
"2019년 06월 13일","1,183.32","1,184.43","1,188.08","1,181.75","-0.02%"
"2019년 06월 12일","1,183.53","1,178.38","1,184.76","1,177.98","0.37%"
"2019년 06월 11일","1,179.21","1,184.02","1,186.60","1,178.50","-0.41%"
"2019년 06월 10일","1,184.02","1,181.84","1,188.51","1,180.50","0.16%"
"2019년 06월 07일","1,182.07","1,178.67","1,187.35","1,177.75","0.29%"
"2019년 06월 06일","1,178.67","1,180.84","1,182.78","1,178.30","-0.18%"
"2019년 06월 05일","1,180.84","1,178.11","1,182.98","1,173.90","0.22%"
"2019년 06월 04일","1,178.26","1,179.42","1,184.96","1,177.22","-0.12%"
"2019년 06월 03일","1,179.64","1,188.52","1,191.52","1,178.41","-0.77%"
"2019년 05월 31일","1,188.80","1,189.73","1,194.28","1,188.47","-0.08%"
"2019년 05월 30일","1,189.73","1,194.03","1,194.65","1,187.86","-0.36%"
"2019년 05월 29일","1,194.03","1,188.94","1,197.10","1,187.67","0.43%"
"2019년 05월 28일","1,188.94","1,184.54","1,190.43","1,183.29","0.37%"
"2019년 05월 27일","1,184.55","1,186.20","1,187.80","1,182.65","-0.10%"
"2019년 05월 24일","1,185.77","1,189.80","1,192.15","1,185.53","-0.34%"
"2019년 05월 23일","1,189.80","1,191.66","1,195.15","1,188.30","-0.08%"
"2019년 05월 22일","1,190.78","1,192.19","1,197.01","1,187.61","-0.17%"
"2019년 05월 21일","1,192.78","1,195.24","1,197.31","1,191.90","-0.16%"
"2019년 05월 20일","1,194.73","1,194.61","1,195.33","1,191.05","0.00%"
"2019년 05월 17일","1,194.73","1,192.33","1,196.86","1,189.64","0.20%"
"2019년 05월 16일","1,192.33","1,186.79","1,194.00","1,186.61","0.47%"
"2019년 05월 15일","1,186.79","1,187.82","1,192.45","1,186.12","-0.09%"
"2019년 05월 14일","1,187.82","1,188.78","1,190.70","1,185.05","-0.08%"
"2019년 05월 13일","1,188.78","1,175.20","1,191.10","1,175.20","1.16%"
"2019년 05월 10일","1,175.20","1,180.09","1,183.98","1,173.78","-0.41%"
"2019년 05월 09일","1,180.09","1,173.11","1,186.36","1,171.30","0.60%"
"2019년 05월 08일","1,173.10","1,173.22","1,174.11","1,167.90","0.06%"
"2019년 05월 07일","1,172.35","1,168.28","1,173.92","1,165.74","0.27%"
"2019년 05월 06일","1,169.15","1,164.34","1,174.74","1,164.33","0.41%"
"2019년 05월 03일","1,164.33","1,166.81","1,172.43","1,163.96","-0.23%"
"2019년 05월 02일","1,167.06","1,165.63","1,168.34","1,161.30","0.11%"
"2019년 05월 01일","1,165.73","1,164.25","1,166.59","1,160.67","0.13%"
"2019년 04월 30일","1,164.25","1,159.89","1,169.78","1,159.23","0.38%"
"2019년 04월 29일","1,159.88","1,158.99","1,161.88","1,157.25","0.08%"
"2019년 04월 26일","1,158.90","1,160.01","1,163.00","1,157.10","-0.10%"
"2019년 04월 25일","1,160.01","1,156.05","1,166.29","1,156.05","0.34%"
"2019년 04월 24일","1,156.05","1,143.06","1,158.35","1,142.88","1.13%"
"2019년 04월 23일","1,143.11","1,140.99","1,145.65","1,139.46","0.19%"
"2019년 04월 22일","1,140.99","1,135.92","1,143.71","1,135.49","0.39%"
"2019년 04월 19일","1,136.58","1,137.61","1,138.60","1,135.92","-0.05%"
"2019년 04월 18일","1,137.11","1,131.78","1,138.51","1,131.53","0.43%"
"2019년 04월 17일","1,132.28","1,137.69","1,138.60","1,131.80","-0.48%"
"2019년 04월 16일","1,137.69","1,135.10","1,138.66","1,134.25","0.23%"
"2019년 04월 15일","1,135.10","1,134.72","1,136.86","1,132.20","0.03%"
"2019년 04월 12일","1,134.72","1,141.96","1,143.81","1,132.70","-0.63%"
"2019년 04월 11일","1,141.96","1,137.97","1,142.74","1,137.40","0.35%"
"2019년 04월 10일","1,137.97","1,141.08","1,144.81","1,137.20","-0.27%"
"2019년 04월 09일","1,141.08","1,143.06","1,144.81","1,139.08","-0.09%"
"2019년 04월 08일","1,142.11","1,137.12","1,146.24","1,135.62","0.39%"
"2019년 04월 05일","1,137.69","1,136.83","1,139.13","1,135.45","0.12%"
"2019년 04월 04일","1,136.33","1,134.17","1,138.36","1,133.00","0.15%"
"2019년 04월 03일","1,134.67","1,137.40","1,138.70","1,133.40","-0.24%"
"2019년 04월 02일","1,137.42","1,133.22","1,138.32","1,132.00","0.33%"
"2019년 04월 01일","1,133.72","1,137.02","1,137.96","1,131.42","-0.32%"
"2019년 03월 29일","1,137.40","1,136.00","1,138.79","1,135.20","0.13%"
"2019년 03월 28일","1,135.95","1,139.24","1,140.42","1,135.50","-0.29%"
"2019년 03월 27일","1,139.24","1,135.87","1,139.94","1,133.85","0.30%"
"2019년 03월 26일","1,135.87","1,132.86","1,136.55","1,130.90","0.27%"
"2019년 03월 25일","1,132.86","1,135.82","1,137.30","1,132.00","-0.29%"
"2019년 03월 22일","1,136.11","1,128.41","1,138.74","1,127.93","0.68%"
"2019년 03월 21일","1,128.41","1,126.05","1,130.87","1,124.51","0.21%"
"2019년 03월 20일","1,126.05","1,130.89","1,132.90","1,123.70","-0.43%"
"2019년 03월 19일","1,130.96","1,132.52","1,134.30","1,128.60","-0.14%"
"2019년 03월 18일","1,132.52","1,135.05","1,137.43","1,131.00","-0.28%"
"2019년 03월 15일","1,135.70","1,136.42","1,140.31","1,132.45","-0.06%"
"2019년 03월 14일","1,136.42","1,130.50","1,137.79","1,129.90","0.52%"
"2019년 03월 13일","1,130.50","1,128.44","1,134.66","1,127.50","0.18%"
"2019년 03월 12일","1,128.44","1,131.77","1,132.69","1,127.40","-0.29%"
"2019년 03월 11일","1,131.77","1,134.10","1,137.40","1,131.10","-0.19%"
"2019년 03월 08일","1,133.90","1,134.87","1,138.03","1,132.16","-0.09%"
"2019년 03월 07일","1,134.87","1,128.38","1,135.90","1,126.80","0.58%"
"2019년 03월 06일","1,128.38","1,125.81","1,130.77","1,125.50","0.23%"
"2019년 03월 05일","1,125.81","1,126.46","1,129.48","1,125.28","-0.06%"
"2019년 03월 04일","1,126.46","1,127.66","1,128.36","1,123.75","-0.11%"
"2019년 03월 01일","1,127.67","1,125.60","1,128.22","1,124.10","0.16%"
"2019년 02월 28일","1,125.90","1,118.50","1,126.77","1,117.10","0.69%"
